구분,지역,시험종류,연도,회차,시험구분,임용기관,직렬,직류,직급,대상,선발,접수,합격선,원본파일명
B,국가직,공무원,2023,2차-전공,공개경쟁,,출입국관리,출입국관리,7급,일반,2,273,86.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,공업,일반기계,7급,일반,21,639,75.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,공업,전기,7급,일반,14,668,72.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,공업,화공,7급,일반,9,392,74.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,농업,일반농업,7급,일반,6,326,92.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,임업,산림자원,7급,일반,6,259,55.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,시설,일반토목,7급,일반,38,547,71.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,시설,건축,7급,일반,16,429,70.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,방재안전,방재안전,7급,일반,6,117,78.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,전산,전산개발,7급,일반,38,856,79.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,전산,데이터,7급,일반,16,257,70.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,방송통신,전송기술,7급,일반,16,245,65.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,외무영사,외무영사,7급,일반,28,2281,82.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,행정,일반행정 전국,7급,장애인,16,122,50.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
