지역,연도,회차,임용기관,직군,직렬,직류,대상,선발,접수,응시,합격선,원본파일명,중복그룹
서울,2024,3회,,기술직군,녹지,산림자원,일반,4,170,72,86,서울 7급 현황+합격선 병합,중복25
서울,2024,3회,,기술직군,녹지,조경,일반,3,153,57,67,2024년도 제3회 서울특별시 지방공무원 임용시험 현황.xlsx,중복26
서울,2024,3회,,기술직군,녹지,조경,일반,3,153,57,67,서울 7급 현황+합격선 병합,중복26
서울,2024,3회,,기술직군,시설,일반토목,일반,15,386,158,67,2024년도 제3회 서울특별시 지방공무원 임용시험 현황.xlsx,중복27
서울,2024,3회,,기술직군,시설,일반토목,일반,15,386,158,67,서울 7급 현황+합격선 병합,중복27
서울,2024,3회,,기술직군,시설,일반토목,장애인,1,1,0,,2024년도 제3회 서울특별시 지방공무원 임용시험 현황.xlsx,중복28
서울,2024,3회,,기술직군,시설,일반토목,장애인,1,1,0,,서울 7급 현황+합격선 병합,중복28
서울,2024,3회,,기술직군,시설,건축,일반,8,344,127,78,2024년도 제3회 서울특별시 지방공무원 임용시험 현황.xlsx,중복29
서울,2024,3회,,기술직군,시설,건축,일반,8,344,127,78,서울 7급 현황+합격선 병합,중복29
서울,2024,3회,,기술직군,시설,건축,장애인,1,4,3,,2024년도 제3회 서울특별시 지방공무원 임용시험 현황.xlsx,중복30
서울,2024,3회,,기술직군,시설,건축,장애인,1,4,3,,서울 7급 현황+합격선 병합,중복30
서울,2024,3회,,기술직군,방송통신,통신기술,일반,1,97,33,72,2024년도 제3회 서울특별시 지방공무원 임용시험 현황.xlsx,중복31
서울,2024,3회,,기술직군,방송통신,통신기술,일반,1,97,33,72,서울 7급 현황+합격선 병합,중복31
서울,2025,2회,,행정직군,행정,일반행정,일반,63,7402,3916,88,2025년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복32
서울,2025,2회,,행정직군,행정,일반행정,일반,63,7402,3916,88,서울 7급 현황+합격선 병합,중복32
서울,2025,2회,,행정직군,행정,일반행정,장애인,3,92,43,77,2025년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복33
서울,2025,2회,,행정직군,행정,일반행정,장애인,3,92,43,77,서울 7급 현황+합격선 병합,중복33
서울,2025,2회,,행정직군,세무,지방세,일반,2,802,254,82,2025년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복34
서울,2025,2회,,행정직군,세무,지방세,일반,2,802,254,82,서울 7급 현황+합격선 병합,중복34
서울,2025,2회,,과학기술직군,공업,일반기계,일반,2,201,74,81,2025년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복35
서울,2025,2회,,기술직군,공업,일반기계,일반,2,201,74,81,서울 7급 현황+합격선 병합,중복35
서울,2025,2회,,과학기술직군,공업,일반전기,일반,3,231,80,71,2025년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복36
서울,2025,2회,,기술직군,공업,일반전기,일반,3,231,80,71,서울 7급 현황+합격선 병합,중복36
서울,2025,2회,,과학기술직군,공업,일반화공,일반,1,132,56,80,2025년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복37
서울,2025,2회,,기술직군,공업,일반화공,일반,1,132,56,80,서울 7급 현황+합격선 병합,중복37
